lognr,runTime,connectionTime,actualTouchTime,amtOfTouches,amtModeKeyPressed,amtOfSessions
1,279.679453,35.172952,14.862861,68,1,1
2,410.555247,60.2,16.520351,13,0,1
3,174.824964,40.5,27.442232,21,0,1
4,279.679453,35.172952,14.862861,68,1,1
5,410.555247,60.2,16.520351,13,0,1
6,174.824964,40.5,27.442232,21,0,1
7,279.679453,35.172952,14.862861,68,1,1
8,410.555247,60.2,16.520351,13,0,1
9,174.824964,40.5,27.442232,21,0,1
10,279.679453,35.172952,14.862861,68,1,1
11,410.555247,60.2,16.520351,13,0,1
12,174.824964,40.5,27.442232,21,0,1
13,279.679453,35.172952,14.862861,68,1,1
14,410.555247,60.2,16.520351,13,0,1
15,174.824964,40.5,27.442232,21,0,1
16,279.679453,35.172952,14.862861,68,1,1
17,410.555247,60.2,16.520351,13,0,1
18,174.824964,40.5,27.442232,21,0,1
